field1,COUNT,Star,Year,University,POS
5,4,2 Star,2020,Akron,DEFENSE
6,5,2 Star,2020,Akron,OFFENSE
7,9,3 Star,2020,Akron,DEFENSE
8,8,3 Star,2020,Akron,OFFENSE
9,1,3 Star,2020,Akron,SPECIAL
10,1,4 Star,2020,Akron,DEFENSE
28,5,3 Star,2020,Alabama,OFFENSE
29,10,4 Star,2020,Alabama,DEFENSE
30,6,4 Star,2020,Alabama,OFFENSE
31,1,4 Star,2020,Alabama,SPECIAL
32,2,5 Star,2020,Alabama,DEFENSE
33,1,5 Star,2020,Alabama,OFFENSE
34,1,5 Star,2020,Alabama,SPECIAL
55,3,2 Star,2020,App State,OFFENSE
56,8,3 Star,2020,App State,DEFENSE
57,7,3 Star,2020,App State,OFFENSE
58,3,3 Star,2020,App State,SPECIAL
59,1,4 Star,2020,App State,OFFENSE
72,3,2 Star,2020,Arizona,DEFENSE
73,1,2 Star,2020,Arizona,SPECIAL
74,10,3 Star,2020,Arizona,DEFENSE
75,12,3 Star,2020,Arizona,OFFENSE
76,2,3 Star,2020,Arizona,SPECIAL
94,1,2 Star,2020,Arizona St.,DEFENSE
95,8,3 Star,2020,Arizona St.,DEFENSE
96,8,3 Star,2020,Arizona St.,OFFENSE
97,2,3 Star,2020,Arizona St.,SPECIAL
98,2,4 Star,2020,Arizona St.,DEFENSE
99,5,4 Star,2020,Arizona St.,OFFENSE
100,1,4 Star,2020,Arizona St.,SPECIAL
121,1,2 Star,2020,Arkansas,SPECIAL
122,16,3 Star,2020,Arkansas,DEFENSE
123,6,3 Star,2020,Arkansas,OFFENSE
124,1,3 Star,2020,Arkansas,SPECIAL
125,1,4 Star,2020,Arkansas,DEFENSE
126,4,4 Star,2020,Arkansas,OFFENSE
143,1,2 Star,2020,Arkansas St.,DEFENSE
144,2,2 Star,2020,Arkansas St.,OFFENSE
145,11,3 Star,2020,Arkansas St.,DEFENSE
146,7,3 Star,2020,Arkansas St.,OFFENSE
147,2,3 Star,2020,Arkansas St.,SPECIAL
161,4,3 Star,2020,Auburn,DEFENSE
162,10,3 Star,2020,Auburn,OFFENSE
163,9,4 Star,2020,Auburn,DEFENSE
164,5,4 Star,2020,Auburn,OFFENSE
165,2,4 Star,2020,Auburn,SPECIAL
182,3,2 Star,2020,Ball St.,DEFENSE
183,4,2 Star,2020,Ball St.,OFFENSE
184,2,2 Star,2020,Ball St.,SPECIAL
185,7,3 Star,2020,Ball St.,DEFENSE
186,6,3 Star,2020,Ball St.,OFFENSE
187,1,3 Star,2020,Ball St.,SPECIAL
203,11,3 Star,2020,Baylor,DEFENSE
204,7,3 Star,2020,Baylor,OFFENSE
205,3,4 Star,2020,Baylor,DEFENSE
206,1,4 Star,2020,Baylor,OFFENSE
222,2,2 Star,2020,Boise St.,OFFENSE
223,11,3 Star,2020,Boise St.,DEFENSE
224,8,3 Star,2020,Boise St.,OFFENSE
225,3,3 Star,2020,Boise St.,SPECIAL
239,1,2 Star,2020,Boston College,OFFENSE
240,7,3 Star,2020,Boston College,DEFENSE
241,9,3 Star,2020,Boston College,OFFENSE
242,1,3 Star,2020,Boston College,SPECIAL
243,1,4 Star,2020,Boston College,DEFENSE
244,2,4 Star,2020,Boston College,OFFENSE
261,5,2 Star,2020,Bowling Green,DEFENSE
262,6,2 Star,2020,Bowling Green,OFFENSE
263,1,2 Star,2020,Bowling Green,SPECIAL
264,7,3 Star,2020,Bowling Green,DEFENSE
265,12,3 Star,2020,Bowling Green,OFFENSE
266,1,3 Star,2020,Bowling Green,SPECIAL
280,2,2 Star,2020,BYU,DEFENSE
281,1,2 Star,2020,BYU,SPECIAL
282,15,3 Star,2020,BYU,DEFENSE
283,12,3 Star,2020,BYU,OFFENSE
284,4,3 Star,2020,BYU,SPECIAL
299,3,2 Star,2020,Buffalo,DEFENSE
300,6,2 Star,2020,Buffalo,OFFENSE
301,7,3 Star,2020,Buffalo,DEFENSE
302,4,3 Star,2020,Buffalo,OFFENSE
319,9,3 Star,2020,California,DEFENSE
320,11,3 Star,2020,California,OFFENSE
321,6,3 Star,2020,California,SPECIAL
322,1,4 Star,2020,California,OFFENSE
339,4,2 Star,2020,Central Mich.,DEFENSE
340,4,2 Star,2020,Central Mich.,OFFENSE
341,5,3 Star,2020,Central Mich.,DEFENSE
342,11,3 Star,2020,Central Mich.,OFFENSE
343,2,3 Star,2020,Central Mich.,SPECIAL
359,2,2 Star,2020,Charlotte,DEFENSE
360,4,2 Star,2020,Charlotte,OFFENSE
361,12,3 Star,2020,Charlotte,DEFENSE
362,11,3 Star,2020,Charlotte,OFFENSE
363,1,4 Star,2020,Charlotte,OFFENSE
379,9,3 Star,2020,Cincinnati,DEFENSE
380,10,3 Star,2020,Cincinnati,OFFENSE
381,4,3 Star,2020,Cincinnati,SPECIAL
382,1,4 Star,2020,Cincinnati,DEFENSE
383,2,4 Star,2020,Cincinnati,OFFENSE
401,1,3 Star,2020,Clemson,DEFENSE
402,6,3 Star,2020,Clemson,OFFENSE
403,7,4 Star,2020,Clemson,DEFENSE
404,5,4 Star,2020,Clemson,OFFENSE
405,3,5 Star,2020,Clemson,DEFENSE
406,2,5 Star,2020,Clemson,OFFENSE
426,1,2 Star,2020,Coastal Carolina,DEFENSE
427,1,2 Star,2020,Coastal Carolina,OFFENSE
428,18,3 Star,2020,Coastal Carolina,DEFENSE
429,7,3 Star,2020,Coastal Carolina,OFFENSE
430,1,3 Star,2020,Coastal Carolina,SPECIAL
447,1,2 Star,2020,Colorado,OFFENSE
448,12,3 Star,2020,Colorado,DEFENSE
449,11,3 Star,2020,Colorado,OFFENSE
450,2,3 Star,2020,Colorado,SPECIAL
451,2,4 Star,2020,Colorado,DEFENSE
452,1,4 Star,2020,Colorado,OFFENSE
468,1,2 Star,2020,Colorado St.,DEFENSE
469,1,2 Star,2020,Colorado St.,SPECIAL
470,9,3 Star,2020,Colorado St.,DEFENSE
471,11,3 Star,2020,Colorado St.,OFFENSE
472,2,3 Star,2020,Colorado St.,SPECIAL
487,1,2 Star,2020,UConn,DEFENSE
488,6,2 Star,2020,UConn,OFFENSE
489,9,3 Star,2020,UConn,DEFENSE
490,8,3 Star,2020,UConn,OFFENSE
491,2,3 Star,2020,UConn,SPECIAL
505,2,2 Star,2020,Duke,DEFENSE
506,7,3 Star,2020,Duke,DEFENSE
507,11,3 Star,2020,Duke,OFFENSE
508,2,3 Star,2020,Duke,SPECIAL
524,3,2 Star,2020,East Carolina,DEFENSE
525,2,2 Star,2020,East Carolina,SPECIAL
526,15,3 Star,2020,East Carolina,DEFENSE
527,14,3 Star,2020,East Carolina,OFFENSE
528,1,3 Star,2020,East Carolina,SPECIAL
529,1,4 Star,2020,East Carolina,DEFENSE
530,1,4 Star,2020,East Carolina,OFFENSE
546,2,2 Star,2020,Eastern Mich.,DEFENSE
547,3,2 Star,2020,Eastern Mich.,OFFENSE
548,2,2 Star,2020,Eastern Mich.,SPECIAL
549,7,3 Star,2020,Eastern Mich.,DEFENSE
550,15,3 Star,2020,Eastern Mich.,OFFENSE
564,2,2 Star,2020,FIU,OFFENSE
565,9,3 Star,2020,FIU,DEFENSE
566,11,3 Star,2020,FIU,OFFENSE
567,2,3 Star,2020,FIU,SPECIAL
568,2,4 Star,2020,FIU,DEFENSE
583,2,2 Star,2020,Florida,DEFENSE
584,2,2 Star,2020,Florida,SPECIAL
585,2,3 Star,2020,Florida,DEFENSE
586,6,3 Star,2020,Florida,OFFENSE
587,13,4 Star,2020,Florida,DEFENSE
588,6,4 Star,2020,Florida,OFFENSE
589,1,5 Star,2020,Florida,DEFENSE
607,1,2 Star,2020,Fla. Atlantic,DEFENSE
608,1,2 Star,2020,Fla. Atlantic,OFFENSE
609,9,3 Star,2020,Fla. Atlantic,DEFENSE
610,15,3 Star,2020,Fla. Atlantic,OFFENSE
611,2,3 Star,2020,Fla. Atlantic,SPECIAL
612,2,4 Star,2020,Fla. Atlantic,OFFENSE
625,1,2 Star,2020,Florida St.,DEFENSE
626,1,2 Star,2020,Florida St.,SPECIAL
627,9,3 Star,2020,Florida St.,DEFENSE
628,11,3 Star,2020,Florida St.,OFFENSE
629,4,3 Star,2020,Florida St.,SPECIAL
630,5,4 Star,2020,Florida St.,DEFENSE
631,4,4 Star,2020,Florida St.,OFFENSE
648,1,2 Star,2020,Fresno St.,OFFENSE
649,1,2 Star,2020,Fresno St.,SPECIAL
650,8,3 Star,2020,Fresno St.,DEFENSE
651,10,3 Star,2020,Fresno St.,OFFENSE
652,1,3 Star,2020,Fresno St.,SPECIAL
667,2,3 Star,2020,Georgia,DEFENSE
668,4,3 Star,2020,Georgia,OFFENSE
669,1,3 Star,2020,Georgia,SPECIAL
670,5,4 Star,2020,Georgia,DEFENSE
671,13,4 Star,2020,Georgia,OFFENSE
672,2,5 Star,2020,Georgia,DEFENSE
673,1,5 Star,2020,Georgia,OFFENSE
674,1,5 Star,2020,Georgia,SPECIAL
695,2,2 Star,2020,Ga. Southern,DEFENSE
696,2,2 Star,2020,Ga. Southern,OFFENSE
697,1,2 Star,2020,Ga. Southern,SPECIAL
698,10,3 Star,2020,Ga. Southern,DEFENSE
699,5,3 Star,2020,Ga. Southern,OFFENSE
700,3,3 Star,2020,Ga. Southern,SPECIAL
717,5,3 Star,2020,Georgia St.,DEFENSE
718,12,3 Star,2020,Georgia St.,OFFENSE
719,2,3 Star,2020,Georgia St.,SPECIAL
733,9,3 Star,2020,Georgia Tech,DEFENSE
734,13,3 Star,2020,Georgia Tech,OFFENSE
735,2,4 Star,2020,Georgia Tech,DEFENSE
736,3,4 Star,2020,Georgia Tech,OFFENSE
752,4,2 Star,2020,Hawaii,DEFENSE
753,2,2 Star,2020,Hawaii,OFFENSE
754,1,2 Star,2020,Hawaii,SPECIAL
755,5,3 Star,2020,Hawaii,DEFENSE
756,10,3 Star,2020,Hawaii,OFFENSE
757,1,3 Star,2020,Hawaii,SPECIAL
774,1,2 Star,2020,Houston,OFFENSE
775,9,3 Star,2020,Houston,DEFENSE
776,11,3 Star,2020,Houston,OFFENSE
777,3,3 Star,2020,Houston,SPECIAL
778,1,4 Star,2020,Houston,OFFENSE
792,1,2 Star,2020,Illinois,DEFENSE
793,1,2 Star,2020,Illinois,OFFENSE
794,6,3 Star,2020,Illinois,DEFENSE
795,11,3 Star,2020,Illinois,OFFENSE
796,2,3 Star,2020,Illinois,SPECIAL
810,2,2 Star,2020,Indiana,OFFENSE
811,1,2 Star,2020,Indiana,SPECIAL
812,8,3 Star,2020,Indiana,DEFENSE
813,12,3 Star,2020,Indiana,OFFENSE
814,1,3 Star,2020,Indiana,SPECIAL
815,1,4 Star,2020,Indiana,OFFENSE
835,1,2 Star,2020,Iowa,DEFENSE
836,1,2 Star,2020,Iowa,OFFENSE
837,10,3 Star,2020,Iowa,DEFENSE
838,10,3 Star,2020,Iowa,OFFENSE
839,1,3 Star,2020,Iowa,SPECIAL
840,1,4 Star,2020,Iowa,DEFENSE
841,1,4 Star,2020,Iowa,OFFENSE
858,1,2 Star,2020,Iowa St.,SPECIAL
859,11,3 Star,2020,Iowa St.,DEFENSE
860,11,3 Star,2020,Iowa St.,OFFENSE
861,1,3 Star,2020,Iowa St.,SPECIAL
862,1,4 Star,2020,Iowa St.,OFFENSE
880,2,2 Star,2020,Kansas,SPECIAL
881,10,3 Star,2020,Kansas,DEFENSE
882,15,3 Star,2020,Kansas,OFFENSE
883,2,3 Star,2020,Kansas,SPECIAL
895,1,2 Star,2020,Kansas St.,DEFENSE
896,16,3 Star,2020,Kansas St.,DEFENSE
