,COUNT,Star,Year,University,POS
0,7,2 Star,2019,Akron,DEFENSE
1,6,2 Star,2019,Akron,OFFENSE
2,3,2 Star,2019,Akron,SPECIAL
3,6,3 Star,2019,Akron,DEFENSE
4,3,3 Star,2019,Akron,OFFENSE
5,4,2 Star,2020,Akron,DEFENSE
6,5,2 Star,2020,Akron,OFFENSE
7,9,3 Star,2020,Akron,DEFENSE
8,8,3 Star,2020,Akron,OFFENSE
9,1,3 Star,2020,Akron,SPECIAL
10,1,4 Star,2020,Akron,DEFENSE
11,4,2 Star,2021,Akron,DEFENSE
12,2,2 Star,2021,Akron,OFFENSE
13,6,3 Star,2021,Akron,DEFENSE
14,7,3 Star,2021,Akron,OFFENSE
15,1,3 Star,2021,Akron,SPECIAL
16,1,2 Star,2022,Akron,DEFENSE
17,2,2 Star,2022,Akron,OFFENSE
18,5,3 Star,2022,Akron,DEFENSE
19,10,3 Star,2022,Akron,OFFENSE
20,1,4 Star,2022,Akron,OFFENSE
21,3,2 Star,2019,Alabama,OFFENSE
22,1,3 Star,2019,Alabama,OFFENSE
23,1,3 Star,2019,Alabama,SPECIAL
24,14,4 Star,2019,Alabama,DEFENSE
25,10,4 Star,2019,Alabama,OFFENSE
26,1,5 Star,2019,Alabama,DEFENSE
27,2,5 Star,2019,Alabama,OFFENSE
28,5,3 Star,2020,Alabama,OFFENSE
29,10,4 Star,2020,Alabama,DEFENSE
30,6,4 Star,2020,Alabama,OFFENSE
31,1,4 Star,2020,Alabama,SPECIAL
32,2,5 Star,2020,Alabama,DEFENSE
33,1,5 Star,2020,Alabama,OFFENSE
34,1,5 Star,2020,Alabama,SPECIAL
35,1,2 Star,2021,Alabama,SPECIAL
36,4,3 Star,2021,Alabama,DEFENSE
37,1,3 Star,2021,Alabama,OFFENSE
38,9,4 Star,2021,Alabama,DEFENSE
39,8,4 Star,2021,Alabama,OFFENSE
40,1,4 Star,2021,Alabama,SPECIAL
41,3,5 Star,2021,Alabama,DEFENSE
42,4,5 Star,2021,Alabama,OFFENSE
43,1,3 Star,2022,Alabama,DEFENSE
44,2,3 Star,2022,Alabama,OFFENSE
45,7,4 Star,2022,Alabama,DEFENSE
46,12,4 Star,2022,Alabama,OFFENSE
47,4,4 Star,2022,Alabama,SPECIAL
48,3,5 Star,2022,Alabama,DEFENSE
49,1,5 Star,2022,Alabama,OFFENSE
50,1,2 Star,2019,App State,OFFENSE
51,2,2 Star,2019,App State,SPECIAL
